Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Formation Energy (eV/atom),Space Group
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,-2.672509629,P2_1/c
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,-2.486460758,Fm-3m
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,-2.54678106799999,Imm2
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,-2.485544567,R-3m
2,8,6,1.0,1.83,1.7,1.155,0.6216666666666666,0.562,0.9070326292144222,0.029955652231634617,-2.50112905749999,Pmm2
2,5,4,1.0,1.6,1.3,1.155,0.677142857142857,0.72,0.8608988956610052,0.020422055810554635,-3.332170996,Fm-3m
2,4,4,1.0,1.3,1.54,1.155,0.72,0.6341666666666667,0.8698051716669609,0.041323971895852095,-3.57240327933333,Fm-3m
2,4,4,1.0,1.33,1.3,1.155,0.7466666666666667,0.72,0.8468708556247503,0.012499999994140497,-3.57214105499999,Fm-3m
2,9,9,1.0,2.28,2.2,1.155,0.605,0.625,0.8966043798003146,0.009925558307729261,-2.10618437699999,C2/m
2,9,6,1.0,2.2,1.7,1.155,0.625,0.562,0.9062743041338329,0.03160270878775883,-2.39178485199999,P2_1/c
2,7,9,1.0,1.55,2.2,1.155,0.586,0.625,0.9008515708275395,0.019446522054626592,-2.2980209892931,P2_1/c
2,5,7,1.0,1.6,1.55,1.155,0.677142857142857,0.586,0.8892908218212245,0.04486323041178241,-3.0011409197931,P2_1/c
2,7,10,1.0,1.55,1.91,1.155,0.586,0.5714285714285715,0.9130463343442388,0.007364089231712441,-1.9918063322931,C2
2,7,7,1.0,1.9,1.55,1.155,0.534,0.586,0.9217641965713484,0.02653061223136184,-2.6559970390431,P2_1/c
2,7,8,1.0,1.55,2.2,1.155,0.586,0.521,0.924831238944292,0.03327361144956557,-2.3941978387931,P2_1/c
2,7,6,1.0,1.55,1.7,1.155,0.586,0.562,0.9152268618462339,0.012158054705087004,-2.7569592952931,P1
2,7,6,1.0,1.55,1.7,1.155,0.586,0.562,0.9152268618462339,0.012158054705087004,-2.7553590757931,P1
2,7,6,1.0,1.55,1.7,1.155,0.586,0.562,0.9152268618462339,0.012158054705087004,-2.7775442822931,P2_1/c
2,6,6,1.0,1.7,2.16,1.155,0.562,0.58,0.9166199012092746,0.009132420086690815,-2.63737325399999,P-1
2,6,6,1.0,1.7,2.16,1.155,0.562,0.58,0.9166199012092746,0.009132420086690815,-2.661461421,P2_1/c
2,5,6,1.0,1.6,1.66,1.155,0.677142857142857,0.521,0.9037485101688695,0.0781076928183261,-3.11584376349999,P2_1/c
2,5,8,1.0,1.6,1.83,1.155,0.677142857142857,0.6216666666666666,0.8815524677658745,0.027069416193587964,-2.94169549199999,P2_1/c
2,10,9,1.0,1.91,2.2,1.155,0.5714285714285715,0.625,0.9041361770899842,0.02680965146111393,-2.094400157,P2_1/c
2,10,6,1.0,1.91,1.7,1.155,0.5714285714285715,0.562,0.9186173296269686,0.0047940727803038015,-2.50167008399999,C2
2,10,6,1.0,1.91,1.7,1.155,0.5714285714285715,0.562,0.9186173296269686,0.0047940727803038015,-2.608180873,P2_1/c
2,10,6,1.0,1.91,1.7,1.155,0.5714285714285715,0.562,0.9186173296269686,0.0047940727803038015,-2.50652113299999,P2_1/c
2,9,5,1.0,1.88,1.5,1.155,0.6255555555555555,0.6940000000000001,0.8771129802461293,0.033229043030582446,-2.88907456023333,P2_1/m
2,5,6,1.0,1.5,1.66,1.155,0.6940000000000001,0.521,0.8999540848295219,0.08617683681884095,-3.23331910423333,P2_1/c
2,5,6,1.0,1.5,1.66,1.155,0.6940000000000001,0.521,0.8999540848295219,0.08617683681884095,-3.21016376548333,P2_1/m
2,8,5,1.0,1.83,1.5,1.155,0.6216666666666666,0.6940000000000001,0.877941763332387,0.035150238907353915,-3.03563844373333,P2_1/m
2,5,7,1.0,1.5,1.55,1.155,0.6940000000000001,0.586,0.8856165810320602,0.05294117644463672,-3.11306568052643,P2_1/m
2,5,6,1.0,1.5,2.16,1.155,0.6940000000000001,0.58,0.8869208764381349,0.055964653875324115,-3.08376108273333,P2_1/m
2,5,10,1.0,1.5,1.91,1.155,0.6940000000000001,0.5714285714285715,0.8887908340095657,0.06029938854296877,-2.77180654573333,P2_1/m
2,5,4,1.0,1.5,1.54,1.155,0.6940000000000001,0.6341666666666667,0.8752833745307649,0.028987847698822882,-3.44584108006666,P2_1/m
2,5,5,1.0,1.5,1.63,1.155,0.6940000000000001,0.576875,0.887601719681395,0.05754291150794707,-3.25461470673333,P2_1/m
2,5,6,1.0,1.5,1.7,1.155,0.6940000000000001,0.562,0.8908569158292394,0.0650887573643546,-3.03421970973333,P2_1/c
2,5,6,1.0,1.5,1.7,1.155,0.6940000000000001,0.562,0.8908569158292394,0.0650887573643546,-3.00860780723333,P2_1/m
2,5,6,1.0,1.5,1.7,1.155,0.6940000000000001,0.562,0.8908569158292394,0.0650887573643546,-3.00570899673333,R3
2,4,6,1.0,1.54,1.66,1.155,0.6341666666666667,0.521,0.9135684928333259,0.05722472712120457,-3.08988691783333,P2_1/c
2,4,9,1.0,1.54,2.2,1.155,0.6341666666666667,0.625,0.8901619340433699,0.004516526378394699,-2.81191228433333,P2_1/c
2,7,4,1.0,1.55,1.54,1.155,0.586,0.6341666666666667,0.8987974753763524,0.02396252227156638,-3.02551289537643,I4/m
2,7,4,1.0,1.55,1.54,1.155,0.586,0.6341666666666667,0.8987974753763524,0.02396252227156638,-3.04050740012643,P2_1/c
2,4,8,1.0,1.54,2.2,1.155,0.6341666666666667,0.521,0.9135684928333259,0.05722472712120457,-2.88846236583333,P2_1/c
2,4,6,1.0,1.54,1.7,1.155,0.6341666666666667,0.562,0.904195433269683,0.03611794634719044,-3.08204899183333,P2_1/c
2,4,6,1.0,1.54,1.7,1.155,0.6341666666666667,0.562,0.904195433269683,0.03611794634719044,-2.98142942733333,Cm
